Status,Stock Symbol,Stock Name,Market Cap,Sector,D/E,ICR,ROE,ROCE,P/E,EPS,EPS (Y-1),EPS (Y-2),Share Value,Share Value (Y-1),Share Value (Y-2),Profit,Profit (Y-1),Profit (Y-2),Revenue,Revenue (Y-1),Revenue (Y-2),Net NPA,Net NPA (Y-1),Net NPA (Y-2),Net NPA %,Net NPA % (Y-1),Net NPA % (Y-2),Assets,Assets (Y-1),Assets (Y-2),Promoter,Pledged,DII,FII
PROCESSED,TRENT,Trent,50292.59,Retailing,0.18,3.11,9.17,8.68,181.70,7.02,-1.44,4.45,1414.75,900.75,616.45,249,-51,154,4159,2251,3329,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7812,5707,5395,37.01,0,14.58,26.82
PROCESSED,PNBHOUSING,PNB Housing Finance,6074.3,Finance,5.41,1.27,8.38,14.48,7.73,48.78,55.01,40.60,360.25,682.75,275.2,821,925,682,6145,7583,8485,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,65649,71332,78874,32.57,NOT_FOUND,2.39,23.96
PROCESSED,INDIAMART,Indiamart Intermesh,13455.11,Miscellaneous,0.00,77.76,16.37,17.67,42.45,101.83,98.53,50.73,4395.0,7114.0,2980.9,309,286,146,858,750,691,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2965,2515,1118,49.22,0,4.96,23.59
PROCESSED,CIPLA,Cipla,82813.92,Healthcare,0.00,149.76,13.13,15.72,27.76,36.67,30.61,28.76,1026.35,908.85,758.35,2689,2468,2318,13758,14130,13552,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,25449,22963,20405,33.61,NOT_FOUND,21.35,27.64
PROCESSED,TRIDENT,Trident,19670.39,Textiles,0.41,17.62,21.46,26.52,32.73,1.63,0.68,0.67,38.6,20.65,6.8,814,345,341,6941,4535,4723,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,6430,5754,5718,72.94,NOT_FOUND,0.05,3.17
PROCESSED,PNCINFRA,PNC Infratech,6454.53,Infrastructure,0.06,10.50,13.40,16.85,14.84,17.46,14.11,17.94,251.85,301.7,156.5,447,361,460,6359,5000,4966,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,5302,4856,4410,56.07,NOT_FOUND,28.57,10.48
PROCESSED,INDIANB,Indian Bank,22287.17,Banks,NOT_SET,NOT_SET,10.52,1.94,4.75,32.38,26.61,14.33,178.95,125.3,64.15,3945,3005,753,45771,45185,24717,884,12271,6184,2.27,3.37,3.13,671668,626005,309468,79.86,0,11.69,2.03
PROCESSED,CUB,City Union Bank,13423.47,Banks,NOT_SET,NOT_SET,11.54,2.67,12.53,10.29,8.03,6.48,181.5,149.45,123.8,760,593,476,4863,4839,4848,1191,1075,778,2.95,2.97,2.29,61530,53311,49733,NOT_FOUND,NOT_FOUND,41.65,18.16
PROCESSED,TRIVENI,Triveni Engineering and Industries,5574.87,Agri,0.84,13.34,21.53,26.63,19.68,15.81,11.14,13.01,230.6,179.25,75.15,382,273,327,4313,4698,4463,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4034,3457,3936,68.43,NOT_FOUND,4.85,5.62
PROCESSED,PVR,PVR,11303.78,Media & Entertainment,1.08,0.84,-34.45,-3.01,-24.46,-78.60,-131.23,6.08,1850.45,1388.4,1333.1,-478,-723,30,1524,698,3327,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7297,7450,7332,16.99,6.31,26.19,36.56
PROCESSED,TRITURBINE,Triveni Turbine,6348.1,Capital Goods,0.00,217.26,32.35,19.37,26.19,7.72,2.74,3.40,196.35,131.35,67.55,249,88,110,837,716,831,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1219,891,786,67.78,NOT_FOUND,11.56,16.97
PROCESSED,TIINDIA,Tube Investments of India Ltd,41889.07,Automobile & Ancillaries,0.13,66.68,17.59,23.42,65.94,24.64,14.44,17.60,2170.25,1264.05,590.35,475,273,330,6432,4302,4340,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4367,3932,2772,46.45,0.11,14.7,25.9
PROCESSED,PAGEIND,Page Industries,55714.55,Textiles,0.00,25.05,49.28,63.29,89.79,481.03,305.35,307.72,49950.85,30823.9,18920.35,536,340,343,3907,2852,2970,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2106,1699,1512,46.12,NOT_FOUND,18.82,25.18
PROCESSED,IEX,Indian Energy Exchange,14859.5,Power,0.00,211.61,43.09,54.19,66.48,3.38,8.57,5.96,165.4,134.67,63.37,302,213,177,477,357,297,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1694,927,668,NOT_FOUND,NOT_FOUND,21.65,20.77
PROCESSED,CLEAN,Clean Science & Technology,18415.7,Chemicals,0.00,2244.65,29.73,38.60,92.58,21.52,18.68,13.15,1737.35,1544.65,1585.25,228,198,139,714,538,430,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,925,660,430,78.51,0,4.51,4.43
PROCESSED,UCOBANK,UCO Bank,13809.13,Banks,NOT_SET,NOT_SET,4.45,1.83,14.81,0.80,0.17,-3.10,11.55,12.95,13.85,930,167,-2437,18082,18166,18005,3315,4389,5510,2.70,3.94,5.45,267784,253336,235908,95.39,0,1.32,0.01
PROCESSED,PERSISTENT,Persistent Systems,29822.56,Software & IT Services,0.00,145.78,20.66,26.98,53.10,89.74,66.09,53.17,3901.1,3214.45,1002.65,685,505,407,3707,2597,2268,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3944,3275,2661,31.26,NOT_FOUND,25.94,20.45
PROCESSED,INDHOTEL,Indian Hotels Company,38656.18,Hospitality,0.12,1.76,-0.42,3.44,-883.33,-0.27,-4.41,3.38,272.15,136.29,93.82,-34,-524,401,2152,1243,2877,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11131,9146,8906,38.19,NOT_FOUND,29.69,15.07
PROCESSED,UFLEX,Uflex,4874.64,Containers & Packaging,0.64,4.38,8.28,11.00,19.76,30.79,31.91,19.84,674.9,487.0,361.55,222,230,143,5720,4655,4152,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,5887,4919,4420,44.58,3.63,0.18,7.09
PROCESSED,PETRONET,Petronet LNG,32250.0,Oil & Gas,0.00,17.52,24.97,26.06,8.67,22.35,19.66,17.98,215.0,223.65,255.05,3352,2949,2697,43475,26411,35824,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,21119,18932,18698,50,NOT_FOUND,2.94,34.83
PROCESSED,IOC,Indian Oil Corporation,101955.34,Oil & Gas,0.84,9.85,18.42,17.65,3.01,26.34,23.78,1.43,72.25,70.8,58.67,24184,21836,1313,602488,382608,489215,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,388339,334054,311090,51.5,NOT_FOUND,11.61,8.19
PROCESSED,UNOMINDA,UNO Minda,31102.28,Automobile & Ancillaries,0.13,15.08,7.38,11.24,66.88,6.97,4.45,4.08,543.65,370.15,157.68,196,118,107,5039,3755,3237,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4256,3802,2866,67.41,NOT_FOUND,13.79,9.06
PROCESSED,PFIZER,Pfizer,19223.43,Healthcare,0.00,85.64,21.38,25.70,32.48,133.89,108.77,111.28,4202.05,5879.35,4578.0,612,497,509,2673,2319,2335,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3900,3265,4405,63.92,NOT_FOUND,14.83,2.55
PROCESSED,IOB,Indian Overseas Bank,33268.25,Banks,NOT_SET,NOT_SET,7.43,1.99,19.73,0.92,0.51,-7.99,17.6,20.05,11.1,1710,831,-8527,21632,22524,20765,3824,4577,6602,2.65,3.58,5.44,299377,274010,260726,96.38,0,1.33,0.07
PROCESSED,UPL,UPL,57796.79,Chemicals,0.20,7.13,14.33,17.16,50.01,15.39,2.88,6.03,769.8,762.2,499.4,1176,220,461,17080,11458,10147,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,19633,15283,13828,28.96,NOT_FOUND,16.47,36.44
PROCESSED,COALINDIA,Coal India,133946.9,Metals & Mining,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,217.35,138.35,135.1,11201,7640,11280,12067,8319,12411,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,22440,22498,22398,66.13,NOT_FOUND,22.57,6.54
PROCESSED,PHOENIXLTD,Phoenix Mills,24481.02,Real Estate,0.19,3.99,8.04,4.36,53.04,20.74,17.76,9.62,1372.45,831.05,644.65,369,292,147,373,546,486,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,5722,5162,3948,47.32,NOT_FOUND,16.67,31.6
PROCESSED,IRCTC,IRCTC - Indian Railway Catering & Tourism Corp,59336.0,Software & IT Services,0.01,86.18,35.22,44.07,93.34,8.30,11.87,33.04,741.5,543.81,272.36,663,189,528,1952,868,2353,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3837,3166,3249,67.4,0,5.32,5.87
PROCESSED,COCHINSHIP,Cochin Shipyard,4482.24,Ship Building,0.03,19.30,13.45,17.13,6.60,44.59,46.38,48.48,340.75,362.05,343.05,586,610,637,3456,3012,3669,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8318,7399,6404,72.86,NOT_FOUND,4.37,2.75
PROCESSED,UTIAMC,UTI Asset Management Company,10410.78,Finance,0.00,62.31,13.27,16.77,30.19,32.94,27.74,24.38,820.8,1129.4,476.2,417,351,309,1060,942,861,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3453,3242,2930,NOT_FOUND,NOT_FOUND,83.13,6.31
PROCESSED,PIDILITIND,Pidilite Industries,138615.67,Chemicals,0.02,69.23,19.76,24.96,98.33,24.96,21.28,21.69,2727.05,2225.3,1449.55,1268,1081,1101,8570,6289,6484,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8423,7623,5819,69.94,NOT_FOUND,7.47,11.13
PROCESSED,IRFC,Indian Railway Finance Corporation,27966.6,Finance,4.74,1.43,14.85,48.55,4.60,4.66,3.66,3.93,21.4,23.45,24.8,6089,4416,3692,20301,15770,13838,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,449980,378051,275934,86.36,0,3.26,1.02
PROCESSED,COFORGE,COFORGE LIMITED,24394.24,Software & IT Services,0.15,15.97,29.21,28.25,41.98,106.19,39.32,67.93,4002.05,4975.85,1995.45,644,239,422,3713,2518,2515,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3240,2249,2346,40.09,NOT_FOUND,25.89,21.87
PROCESSED,ULTRACEMCO,UltraTech Cement,191931.64,Construction Materials,0.20,14.46,14.34,14.78,26.95,245.00,185.20,189.15,6648.8,7601.45,4199.85,7066,5342,5455,51275,43977,41375,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,80661,80416,71816,59.96,NOT_FOUND,18.21,13.12
PROCESSED,POLYMED,Poly Medicure,7127.31,Healthcare,0.10,69.55,13.55,17.53,62.34,15.23,14.54,10.47,743.2,892.8,439.5,146,129,92,918,766,664,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1333,1187,739,53.34,NOT_FOUND,3.25,15.59
PROCESSED,INDIGOPNTS,Indigo Paints,7286.38,Chemicals,0.01,110.40,12.93,17.11,90.88,17.67,15.55,16.50,1534.85,2391.2,3117.15,84,70,47,916,726,626,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,919,811,421,54,0,3.4,9.08
PROCESSED,COLPAL,Colgate Palmolive (India),42620.15,FMCG,0.00,270.10,62.16,77.76,38.90,39.65,38.07,30.02,1567.0,1668.75,1420.8,1078,1035,816,5126,4871,4574,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2901,2894,2603,51,NOT_FOUND,9.12,18.7
PROCESSED,POLYCAB,Polycab India,36101.41,Electricals,0.01,39.81,16.87,20.19,37.90,62.39,55.79,51.28,2414.1,1904.85,906.95,931,831,760,12188,8856,8900,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7307,6726,5928,67.99,0,9.03,5.71
PROCESSED,UNIONBANK,Union Bank of India,27680.73,Banks,NOT_SET,NOT_SET,7.94,1.89,5.01,7.73,4.54,-12.49,40.45,34.7,29.9,5232,2906,-2898,80468,80104,42491,24303,27280,17303,3.68,4.62,5.49,1187591,1071705,550683,83.49,0,6.9,1.13
PROCESSED,ICIL,Indo Count Industries,2930.4,Textiles,0.76,12.72,21.56,28.49,9.28,17.13,13.18,3.74,148.3,255.4,69.75,338,260,73,2945,2552,2019,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3079,2246,1658,58.94,NOT_FOUND,0.09,9.28
PROCESSED,CAMS,Computer Age Management Services,11268.42,Finance,0.00,64.90,47.87,52.37,39.10,59.23,44.89,33.65,2302.9,3233.55,1299.6,289,218,164,903,732,680,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,894,777,715,23.74,0,14.71,29.28
PROCESSED,UBL,United Breweries,44605.15,Alcohol,0.00,49.02,9.28,12.79,107.86,13.81,4.27,16.16,1687.25,1495.4,1015.1,365,112,427,5861,4290,6513,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,5940,5844,5543,72.71,14.45,14.17,7.69
PROCESSED,POLYPLEX,Polyplex Corporation,6812.16,Plastic Products,0.12,275.09,67.13,74.07,15.49,156.56,144.02,71.85,2170.0,1434.35,777.6,491,453,229,2121,1637,1492,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,910,829,858,50.97,NOT_FOUND,3.64,12.78
PROCESSED,INDOCO,Indoco Remedies,3234.48,Healthcare,0.27,23.29,17.08,23.60,22.48,16.77,10.03,2.63,351.0,463.05,250.0,154,92,24,1542,1243,1108,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1487,1316,1272,58.69,NOT_FOUND,18.08,1.17
PROCESSED,CONCOR,Container Corporation of India,41946.87,Logistics,0.00,36.49,9.85,12.80,38.54,17.44,8.26,6.17,688.1,673.45,393.3,1062,503,375,7857,6670,6753,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,12801,12194,11566,54.8,NOT_FOUND,16.93,23.65
PROCESSED,MCDOWELL-N,United Spirits,57967.6,Alcohol,0.00,23.92,15.70,25.70,83.89,10.59,4.27,9.70,798.05,724.45,591.05,769,310,704,9423,7937,9136,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8415,8141,8554,56.73,1.19,10.87,16.76
PROCESSED,POONAWALLA,Poonawalla Fincorp,22165.43,Finance,1.18,1.85,5.13,12.88,66.47,4.09,-21.46,-0.37,289.7,194.4,34.3,293,-578,-10,1567,1876,2219,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,12809,10342,12955,61.49,0,5.71,7.35
PROCESSED,IGL,Indraprastha Gas,29344.03,Industrial Gases & Fuels,0.00,158.68,18.95,24.26,19.86,18.79,14.37,16.24,419.2,528.1,395.0,1314,1005,1136,7925,5091,6641,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,10452,8587,7172,45,NOT_FOUND,21.79,20.34
PROCESSED,COROMANDEL,Coromandel International,30469.88,Chemicals,0.00,28.89,22.42,29.70,16.61,48.14,44.77,36.20,1037.0,848.7,771.5,1412,1312,1059,19231,14230,13154,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11213,8948,10217,57.48,0.04,20.05,8.04
PROCESSED,VGUARD,V-Guard Industries,10472.56,Capital Goods,0.01,45.86,16.17,20.24,40.95,5.27,4.64,4.33,242.6,248.1,160.25,226,198,185,3487,2720,2505,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2072,1859,1440,55.88,NOT_FOUND,18.09,12.39
PROCESSED,PFC,Power Finance Corporation,31416.97,Finance,1.48,1.54,16.88,58.09,2.97,37.96,31.98,21.42,119.05,128.2,96.9,10021,8444,5655,38591,37766,33371,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,394410,392084,361787,55.99,NOT_FOUND,12.74,16.21
PROCESSED,CREDITACC,CreditAccess Grameen,15620.78,Finance,2.66,1.68,9.69,24.31,34.63,24.54,9.52,22.78,1001.4,636.65,616.0,382,142,327,2291,2031,1684,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,14795,12696,10661,73.82,0,10.75,8.67
PROCESSED,POWERGRID,Power Grid Corporation of India,157924.25,Power,1.77,4.55,22.44,11.49,8.85,24.51,22.81,20.67,226.45,180.6,133.01,17093,11935,10811,42335,40527,38317,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,247877,254331,255549,51.34,NOT_FOUND,15.18,30.25
PROCESSED,VMART,V-Mart Retail,5889.5,Retailing,0.00,2.83,1.37,5.14,672.25,5.90,-3.37,27.18,2979.25,3714.75,1795.05,11,-6,49,1680,1096,1666,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2099,1626,1223,46.14,NOT_FOUND,25.56,18.19
PROCESSED,CROMPTON,Crompton Greaves Consumer Electrical,25115.27,Consumer Durables,0.63,23.81,24.16,30.60,39.58,9.45,9.64,7.89,396.3,451.05,260.55,593,604,494,5453,4825,4570,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,5326,3563,2744,5.94,0,44.98,37.27
PROCESSED,PRAJIND,Praj Industries,6914.37,Capital Goods,0.00,96.12,18.13,19.84,44.52,8.95,3.89,3.54,376.45,322.7,72.5,164,71,64,2085,1111,975,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2070,1468,1062,32.83,NOT_FOUND,10,15.93
PROCESSED,VIPIND,VIP Industries,8349.46,FMCG,0.15,7.32,12.61,16.49,165.33,4.51,-5.98,6.28,590.5,474.05,270.8,63,-84,88,1304,672,1738,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1032,1008,1151,50.79,NOT_FOUND,20.8,8.84
PROCESSED,CUMMINSIND,Cummins India,33930.67,Automobile & Ancillaries,0.08,101.97,18.27,20.47,35.05,31.99,22.29,22.70,1224.65,1030.0,461.7,886,617,629,6427,4699,5489,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,6805,5696,5954,51,NOT_FOUND,25.24,10.35
PROCESSED,VAIBHAVGBL,Vaibhav Global,5128.85,Diamond  &  Jewellery,0.16,47.09,22.09,19.66,47.40,7.89,14.45,39.26,311.7,763.55,350.13,128,46,127,590,461,542,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,752,640,650,57.96,NOT_FOUND,18.38,10.71
PROCESSED,PRESTIGE,Prestige Estates Projects,18571.92,Real Estate,0.40,3.86,14.87,10.86,20.90,23.63,5.31,6.92,463.3,344.6,250.4,947,212,262,4870,4228,3566,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,17280,18199,19588,65.48,NOT_FOUND,7.59,23.73
PROCESSED,CYIENT,Cyient,9361.33,Software & IT Services,0.00,75.78,21.89,24.75,17.83,52.03,25.29,22.56,848.3,941.35,396.5,569,278,248,2025,1499,1649,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3186,3038,2672,23.4,1.3,23.88,32.68
PROCESSED,VAKRANGEE,Vakrangee,2998.38,Software & IT Services,0.00,--,3.67,4.78,36.91,0.94,0.48,0.61,28.3,37.15,30.75,99,51,64,694,295,699,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2876,2832,2788,42.6,NOT_FOUND,6.37,8.25
PROCESSED,PRINCEPIPE,Prince Pipes & Fittings,6600.5,Plastic Products,0.12,30.28,19.71,27.18,28.04,22.62,20.16,11.77,597.0,646.15,151.85,249,221,112,2662,2089,1642,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1939,1606,1410,62.94,0,14.51,4.15
