Status,Stock Symbol,Stock Name,Market Cap,Sector,D/E,ICR,ROE,ROCE,P/E,EPS,EPS (Y-1),EPS (Y-2),Share Value,Share Value (Y-1),Share Value (Y-2),Profit,Profit (Y-1),Profit (Y-2),Revenue,Revenue (Y-1),Revenue (Y-2),Net NPA,Net NPA (Y-1),Net NPA (Y-2),Net NPA %,Net NPA % (Y-1),Net NPA % (Y-2),Assets,Assets (Y-1),Assets (Y-2),Promoter,Pledged,DII,FII
PROCESSED,JSWSTEEL,JSW Steel,162582.25,Metals & Mining,0.79,8.78,26.30,25.08,10.54,69.48,34.92,22.03,672.6,744.25,269.6,16702,8393,5291,120749,71396,64890,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,162870,133232,122042,45.02,16.79,9.58,10.61
PROCESSED,LALPATHLAB,Dr Lal PathLabs,20675.85,Healthcare,0.23,19.76,23.30,27.65,62.74,41.61,33.93,27.09,2480.55,3855.35,1913.95,344,280,223,1925,1541,1331,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2213,1573,1318,55.05,NOT_FOUND,6.52,22.37
PROCESSED,APLAPOLLO,APL Apollo Tubes,26957.71,Metals & Mining,0.22,13.26,16.45,20.52,79.60,11.49,12.34,46.96,1077.1,813.23,227.95,287,153,115,9097,6052,5958,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3206,2819,2574,34.52,0,11.17,24.64
PROCESSED,JAMNAAUTO,Jamna Auto Industries,4681.83,Automobile & Ancillaries,0.24,111.30,19.09,24.48,30.34,3.28,1.93,1.20,117.45,81.95,42.8,130,76,47,1654,1068,1080,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1152,874,776,49.98,3.8,13.82,6.63
PROCESSED,AUBANK,AU Small Finance Bank,42954.25,Banks,NOT_SET,NOT_SET,15.03,2.74,17.28,36.06,38.19,22.78,646.25,675.1,353.6,1130,1171,675,6915,6401,4991,271,755,217,0.50,2.18,0.81,69077,51591,42143,28.21,NOT_FOUND,18.41,35.07
PROCESSED,AARTIDRUGS,Aarti Drugs,4348.96,Healthcare,0.53,16.10,20.05,23.35,20.39,21.04,27.65,58.12,469.65,622.05,579.39,195,257,135,2255,1921,1635,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2034,1637,1470,59.98,NOT_FOUND,2.76,2.07
PROCESSED,AAVAS,AAVAS Financiers ,17374.93,Finance,2.84,2.00,12.70,19.95,56.71,45.31,36.94,31.86,2200.45,2656.4,1392.6,356,289,249,1305,1105,903,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11020,8960,7658,39.19,0,10.19,39.03
PROCESSED,ABBOTINDIA,Abbott India,40832.87,Healthcare,0.00,60.99,28.32,36.37,47.10,375.86,325.04,279.04,19216.1,19045.3,16675.05,798,690,592,4996,4390,4207,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4224,3840,3546,74.99,NOT_FOUND,7.94,0.2
PROCESSED,ADANIENT,Adani Enterprises,355078.51,Trading,0.89,3.17,15.23,22.52,307.60,6.55,3.35,6.35,3008.65,1441.65,197.8,720,368,698,27327,13750,16619,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,21651,12992,13885,72.28,3.79,5.67,15.83
PROCESSED,RELIANCE,Reliance Industries,1803181.72,Oil & Gas,0.41,7.25,8.28,8.24,44.48,59.24,49.66,48.42,2665.15,2164.25,2091.35,39084,31944,30903,437575,260485,350519,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,878674,873673,971699,50.62,NOT_FOUND,14.87,23.87
PROCESSED,ADANIGREEN,Adani Green Energy Limited,352771.95,Miscellaneous,11.37,0.79,-3.81,3.11,-2519.34,-0.76,1.93,0.46,2227.05,936.85,367.25,-58,364,134,11161,3006,1579,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,27963,14297,6396,60.5,2.19,0.98,15.91
PROCESSED,RBA,Restaurant Brands Asia,6220.48,FMCG,0.00,1.63,-4.76,-0.94,-43.06,-2.34,-5.47,-2.87,126.1,165.55,135.0,-92,-173,-76,964,522,846,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2889,1428,1197,40.91,0,8.92,27.06
PROCESSED,DRREDDY,Dr Reddys Laboratories,71837.48,Healthcare,0.12,80.95,8.85,12.25,43.90,97.85,131.84,177.23,4315.9,4700.5,4519.15,1623,2186,2937,14887,14150,12593,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,24495,21629,19475,26.71,NOT_FOUND,25.19,25.87
PROCESSED,ADANIPORTS,Adani Ports and Special Economic Zone,174217.98,Infrastructure,1.68,1.74,1.12,5.49,549.08,1.41,9.49,9.43,824.75,692.65,357.45,297,1927,1934,6725,6643,7546,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,74670,58558,51812,66.02,13.07,15.08,14.24
PROCESSED,JSL,Jindal Stainless,6361.12,Metals & Mining,0.57,8.98,33.92,33.92,6.02,33.65,8.78,3.16,121.05,152.7,47.5,1674,427,152,20365,11721,12357,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,13802,10264,10107,70.1,78.07,5.85,13.77
PROCESSED,ROSSARI,Rossari Biotech,5202.87,Chemicals,0.00,53.24,10.13,13.90,62.91,14.49,15.34,13.48,943.7,1378.3,738.5,79,79,65,1085,700,603,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,925,544,468,68.56,0,13.02,8.51
PROCESSED,EIDPARRY,EID Parry (India),10083.92,Agri,0.04,10.67,10.27,12.21,28.28,16.00,48.86,0.10,568.3,415.9,272.75,283,864,1,2772,2409,2015,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4075,4274,4077,44.61,0.19,4.46,10.21
PROCESSED,ATGL,Adani Total Gas,381837.56,Industrial Gases & Fuels,0.41,15.45,20.76,24.68,468.37,4.59,4.29,3.97,3471.85,973.15,160.95,504,471,436,3079,1739,1918,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4429,3222,2485,74.8,NOT_FOUND,5.59,17.55
PROCESSED,JINDALSTEL,Jindal Steel & Power,41838.91,Metals & Mining,0.33,10.70,20.52,21.74,6.56,81.21,70.14,6.09,410.15,414.95,223.6,8283,7154,617,49533,33973,26228,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,75162,69131,58874,60.44,47.21,15.75,10.65
PROCESSED,ROUTE,Route Mobile Ltd,9705.56,Software & IT Services,0.00,28.71,2.26,3.25,331.68,4.65,4.15,1.51,1539.5,1954.2,651.3,27,22,7,374,387,425,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1328,589,324,59.82,0,7.03,19.94
PROCESSED,EIHOTEL,EIH,9840.11,Hospitality,0.12,0.88,-4.20,-2.71,-81.83,-1.89,-5.72,2.18,157.35,103.4,77.39,-118,-343,124,910,473,1434,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3623,3657,3913,35.74,NOT_FOUND,13.89,3.73
PROCESSED,ADANITRANS,Adani Transmission,401315.23,Power,10.11,0.92,-7.64,6.13,-893.64,-2.65,-2.30,0.05,3597.65,1024.0,233.8,-64,-21,5,1440,1434,1653,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,12666,12184,12934,73.87,5.9,3.43,20.01
PROCESSED,JUBLFOOD,Jubilant Foodworks,39976.72,FMCG,0.00,6.62,20.79,19.70,15.91,33.15,17.71,20.87,605.85,777.96,377.45,437,233,275,4371,3339,3954,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4775,3801,3398,41.94,1.84,17.34,29.8
PROCESSED,SBICARD,SBI Cards & Payment Services,94404.6,Finance,2.96,3.26,20.84,35.68,49.63,17.16,10.48,13.35,1000.8,1016.2,803.1,1616,984,1244,11301,9713,9752,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,34648,27012,25302,69.64,0,16.24,8.29
PROCESSED,EPL,EPL,5185.02,Plastic Products,0.27,19.44,21.91,21.91,35.20,5.50,4.85,3.35,164.15,230.05,273.5,173,153,105,1104,955,882,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1199,1080,1078,51.91,NOT_FOUND,13.9,14.7
PROCESSED,ABCAPITAL,Aditya Birla Capital,27258.79,Finance,0.00,3818.55,3.47,4.17,75.28,1.43,0.30,0.13,112.8,112.5,59.3,344,73,29,454,108,201,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,10077,9735,9626,71.07,0,11.95,2.55
PROCESSED,JUBLINGREA,Jubilant Ingrevia,7888.4,Chemicals,0.21,18.21,22.80,28.62,15.85,28.39,14.75,-3.31,495.25,731.15,268.7,452,38,0,4889,671,0,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3652,3239,0,51.47,NOT_FOUND,0.7,10.19
PROCESSED,SBILIFE,SBI Life Insurance Company,130597.5,Insurance,0.00,--,12.95,0.69,74.47,15.06,14.56,14.22,1305.35,1134.8,842.35,1505,1455,1422,84015,82779,44326,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,268207,226830,165580,55.48,NOT_FOUND,12.29,23.9
PROCESSED,EASEMYTRIP,Easy Trip Planners,8669.87,Hospitality,0.17,96.26,44.71,60.44,69.13,4.93,5.73,3.19,399.0,59.45,26.06,107,62,34,247,150,179,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,471,380,282,74.9,0,2.31,3.44
PROCESSED,JUBLPHARMA,Jubilant Pharmova,5476.09,Healthcare,0.39,3.89,6.12,6.29,78.73,4.93,13.47,20.16,343.8,622.2,817.9,78,214,321,213,2757,3313,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1829,1844,5433,50.68,NOT_FOUND,0.62,23.47
PROCESSED,JUSTDIAL,Just Dial,5091.97,Software & IT Services,0.00,17.56,2.03,2.49,74.81,9.51,33.92,42.00,604.0,960.05,406.75,70,214,272,769,824,1092,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4032,1786,1832,77.05,13.69,5.95,2.86
PROCESSED,JYOTHYLAB,Jyothy Labs,6640.97,FMCG,0.03,40.14,16.55,18.31,34.69,4.25,5.18,4.29,180.85,166.35,141.65,156,190,157,2185,1904,1685,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1450,1423,1289,62.89,NOT_FOUND,18.14,11.47
PROCESSED,KPRMILL,KPR Mill,20136.26,Textiles,0.16,79.80,27.76,37.10,29.31,21.24,62.87,41.37,589.1,357.48,104.85,730,432,294,4158,2991,2934,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3358,2485,2187,74.78,NOT_FOUND,13.16,3.74
PROCESSED,ABFRL,Aditya Birla Fashion & Retail,27522.46,Retailing,0.42,3.45,-2.80,3.77,-347.24,-0.87,-7.95,-1.88,293.3,206.35,133.1,-80,-649,-145,7918,5253,8807,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11601,9762,9688,56.09,NOT_FOUND,19.97,13.23
PROCESSED,SIS,SIS,6725.86,Miscellaneous,0.77,3.74,16.01,16.22,53.30,9.10,3.88,5.89,457.0,451.8,376.6,133,57,86,3381,3030,3040,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1991,2019,1821,71.55,NOT_FOUND,3.98,15.97
PROCESSED,EDELWEISS,Edelweiss Financial Services,5866.09,Finance,0.00,4.99,18.66,21.33,5.62,10.44,8.05,0.93,62.2,85.25,75.15,933,716,82,1372,1721,245,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8042,5980,3682,32.62,0,2.66,30.07
PROCESSED,ABSLAMC,Aditya Birla Sun Life AMC,13047.84,Finance,0.00,191.10,30.00,38.77,23.28,22.93,286.58,,453.05,699.45,699.45,660,515,,1379,1178,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2434,1997,,86.5,0,4.38,2.12
PROCESSED,EICHERMOT,Eicher Motors,92912.38,Automobile & Ancillaries,0.00,250.52,14.69,18.60,42.35,58.02,48.68,697.50,3397.6,2515.65,2113.47,1586,1329,1903,10577,9071,9692,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,14284,12624,10579,49.21,NOT_FOUND,10.24,29.5
PROCESSED,ELGIEQUIP,Elgi Equipments,13614.41,Capital Goods,0.00,176.36,19.24,25.48,46.67,5.99,3.32,6.34,429.6,205.4,120.1,189,105,100,1628,1124,1130,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1261,1169,1001,31.32,0.88,5.93,27
PROCESSED,ADVENZYMES,Advanced Enzyme Technologies,2962.61,Healthcare,0.00,860.29,11.34,14.62,57.81,4.88,6.36,5.19,264.95,370.1,238.25,54,71,57,281,290,256,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,529,489,422,52.7,NOT_FOUND,6.26,18.72
PROCESSED,SJVN,SJVN,11278.51,Power,0.42,11.98,7.44,8.14,11.02,2.49,4.16,3.96,28.7,26.65,22.95,977,1633,1557,2625,3213,3095,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,20780,16863,15776,86.77,NOT_FOUND,3.42,2.93
PROCESSED,EMAMILTD,Emami,20467.15,FMCG,0.10,295.69,40.78,32.42,23.35,19.15,10.68,6.37,463.95,590.15,352.0,850,475,289,2989,2686,2484,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2825,2304,2434,54.27,37.14,26.45,11.47
PROCESSED,AEGISCHEM,Aegis Logistics,9122.49,Logistics,0.26,31.39,29.51,27.07,15.97,12.87,4.53,0.73,259.9,278.4,187.1,451,155,24,1490,787,926,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2472,2126,1725,58.07,NOT_FOUND,2.35,15.11
PROCESSED,ENDURANCE,Endurance Technologies,20033.91,Automobile & Ancillaries,0.01,413.76,12.69,18.03,40.34,27.14,27.88,30.41,1424.25,1614.1,989.45,381,392,427,5721,4786,4974,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3739,3437,2982,75,NOT_FOUND,16.69,6.43
PROCESSED,AFFLE,Affle India,16067.41,Software & IT Services,0.00,128.27,6.70,9.00,295.79,4.26,11.07,13.12,1205.8,831.05,418.43,56,28,32,428,273,187,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1017,302,253,59.89,0,7.51,14.69
PROCESSED,KEI,KEI Industries,12706.76,Electricals,0.16,14.94,17.61,24.97,30.17,41.80,30.46,31.51,1408.85,740.85,389.2,376,273,255,5741,4201,4900,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3527,3013,3268,38.02,NOT_FOUND,19.49,26.46
PROCESSED,ENGINERSIN,Engineers India,3835.94,Capital Goods,0.00,555.29,17.89,23.23,10.45,6.13,4.16,6.81,68.25,71.65,68.35,344,259,430,3007,3299,3461,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4316,4378,5028,51.32,NOT_FOUND,12.62,7.11
PROCESSED,AJANTPHARM,Ajanta Pharma,16329.55,Healthcare,0.00,113.01,22.71,27.47,14.50,83.28,77.59,50.55,1274.5,1546.07,1105.1,719,675,441,3280,2822,2380,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3780,3532,3049,70.48,20.09,12.91,8.3
PROCESSED,KNRCON,KNR Constructions,7309.29,Infrastructure,0.00,26.21,17.02,25.77,20.92,13.58,8.68,16.02,259.9,302.75,113.68,381,244,225,3314,2752,2300,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3329,2920,2717,51.63,0.28,33.29,5.73
PROCESSED,APLLTD,Alembic Pharmaceuticals,12896.51,Healthcare,0.11,66.26,13.76,15.49,18.36,40.39,60.67,51.42,656.1,770.2,1000.75,794,1175,969,5046,5061,4267,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7535,6776,5878,69.61,NOT_FOUND,12.15,5.94
PROCESSED,ALKEM,Alkem Laboratories,35127.0,Healthcare,0.26,53.04,17.62,19.80,28.09,128.90,140.93,105.75,2937.9,3703.25,2886.45,1541,1685,1264,9029,7409,6773,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,13169,10772,9105,57.14,NOT_FOUND,14.1,5.67
PROCESSED,ALKYLAMINE,Alkyl Amines Chemicals,15626.73,Chemicals,0.02,89.07,22.72,29.35,64.91,44.04,144.68,105.55,3058.55,4251.55,1151.46,224,295,215,1556,1249,999,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1371,1145,783,72,NOT_FOUND,1.26,2.28
PROCESSED,ALLCARGO,Allcargo Logistics,7584.62,Logistics,0.39,11.30,19.12,18.28,7168.00,0.05,7.79,8.94,308.7,229.5,102.95,366,191,219,3676,2154,1735,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3481,3146,2875,69.92,NOT_FOUND,2.01,9.33
PROCESSED,SRF,SRF,73710.48,Diversified,0.36,28.26,19.76,23.14,52.68,50.86,158.72,169.48,2486.65,1823.46,828.46,1507,925,793,10088,7051,6384,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,12938,10711,8819,50.73,NOT_FOUND,9.36,19.21
PROCESSED,ALOKINDS,Alok Industries,9632.57,Textiles,-1.40,1.32,0.00,4.64,-68.51,-0.37,-15.68,8.45,19.4,21.45,35.65,-184,-5854,1223,7191,3756,3251,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7934,7739,17802,75,0,0.75,1.98
PROCESSED,EQUITAS,Equitas Holdings,3337.58,Finance,0.00,65.46,-3.43,0.01,-61.56,-1.73,4.30,0.23,97.65,124.85,52.55,-59,146,7,19,177,19,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1733,1787,1744,NOT_FOUND,NOT_FOUND,34.95,26.29
PROCESSED,SANOFI,Sanofi India,14751.92,Healthcare,0.00,464.94,42.43,33.32,0.00,410.06,207.38,179.85,6405.35,8935.8,8376.8,944,477,414,3031,2991,3164,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3061,2918,3244,60.4,NOT_FOUND,18.59,8.71
PROCESSED,AMARAJABAT,Amara Raja Batteries,8865.17,Automobile & Ancillaries,0.01,72.89,11.23,14.53,17.92,29.93,37.87,38.69,519.0,711.2,754.0,511,646,660,8773,7237,6894,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,6375,5797,5000,28.06,NOT_FOUND,10.82,18.34
PROCESSED,EQUITASBNK,Equitas Small Finance Bank,5640.44,Banks,NOT_SET,NOT_SET,6.61,3.37,21.03,2.43,3.53,2.39,45.0,62.45,32.8,281,384,244,3997,3612,2927,4794,266,247,2.47,1.58,1.66,26951,24715,19314,74.52,0,15.59,4.09
PROCESSED,AMBER,Amber Enterprises India Limited,7737.09,Consumer Durables,0.54,5.08,3.01,5.54,246.73,14.28,15.77,37.50,2296.3,2876.15,1774.25,48,51,117,3170,2325,3008,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4186,3156,2520,40.31,NOT_FOUND,8.76,26.88
PROCESSED,KPITTECH,KPIT Technologies,15490.5,Software & IT Services,0.00,33.99,19.53,20.83,68.07,8.83,3.48,6.64,565.05,357.35,77.85,238,93,178,1258,820,978,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1724,1319,1325,40.11,1.09,10.74,15.99
PROCESSED,ERIS,Eris Lifesciences,9458.26,Healthcare,0.00,171.51,21.75,23.26,22.43,30.70,25.82,21.23,695.6,728.45,530.65,417,350,291,1244,1118,1034,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2150,1754,1483,52.3,NOT_FOUND,10.67,15.35
PROCESSED,KRBL,KRBL,6439.09,Agri,0.04,52.64,11.32,14.84,10.32,19.54,23.80,23.76,273.55,262.45,291.1,460,560,559,4253,4014,4520,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4739,4619,4413,59.96,NOT_FOUND,6.33,3.31
PROCESSED,SAREGAMA,Saregama India,7863.74,Media & Entertainment,0.00,48.63,10.96,14.41,58.09,8.31,62.39,28.20,407.85,338.27,47.45,150,107,48,601,463,511,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1671,774,619,58.49,NOT_FOUND,2.66,17.3
PROCESSED,KAJARIACER,Kajaria Ceramics,18611.9,Construction Materials,0.02,94.01,17.16,22.09,44.77,22.77,18.98,17.54,1168.85,1051.65,407.95,362,301,278,3343,2574,2622,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2691,2308,2195,47.5,NOT_FOUND,22.4,19.58
PROCESSED,SCHAEFFLER,Schaeffler India ,45482.8,Automobile & Ancillaries,0.00,284.45,17.21,22.83,0.00,201.30,93.10,117.60,2909.9,1358.84,700.23,629,290,367,5632,3822,4423,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4896,4151,3645,74.13,NOT_FOUND,15.51,4.94
PROCESSED,KALPATPOWR,Kalpataru Power Transmission,5558.04,Infrastructure,0.38,5.92,11.81,12.25,10.60,34.61,40.57,30.02,373.25,418.1,245.9,515,615,463,7143,7749,7962,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,10298,9657,9654,51.55,52.03,35.98,5.39
PROCESSED,SEQUENT,Sequent Scientific,2831.07,Healthcare,0.01,16.70,1.42,1.65,223.00,0.60,1.30,0.88,113.5,243.6,135.15,14,32,21,247,285,241,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,1124,1102,997,52.79,NOT_FOUND,2.26,6.45
PROCESSED,KALYANKJIL,Kalyan Jewellers India,7261.87,Diamond  &  Jewellery,0.42,2.78,6.56,14.41,28.25,2.08,1.63,1.86,70.5,64.0,75.2,214,138,156,9098,7378,7944,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7755,7912,6707,60.54,0,1.96,2.77
