Status,Stock Symbol,Stock Name,Market Cap,Sector,D/E,ICR,ROE,ROCE,P/E,EPS,EPS (Y-1),EPS (Y-2),Share Value,Share Value (Y-1),Share Value (Y-2),Profit,Profit (Y-1),Profit (Y-2),Revenue,Revenue (Y-1),Revenue (Y-2),Net NPA,Net NPA (Y-1),Net NPA (Y-2),Net NPA %,Net NPA % (Y-1),Net NPA % (Y-2),Assets,Assets (Y-1),Assets (Y-2),Promoter,Pledged,DII,FII
PROCESSED,3MINDIA,3M India,25212.3,Diversified,0.00,114.59,10.69,14.27,83.36,236.28,132.53,194.38,22380.95,23780.3,20929.2,266,149,218,3113,2447,2806,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3257,2916,2653,75,NOT_FOUND,6.38,4.13
PROCESSED,JKPAPER,JK Paper,7366.46,Paper,0.89,11.04,16.78,14.45,10.07,30.17,18.68,27.64,434.85,261.1,95.75,511,322,492,4060,2811,3135,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7116,6034,4743,49.63,NOT_FOUND,5.86,3.43
PROCESSED,RTNINDIA,Rattanindia Enterprises,7097.95,Miscellaneous,0.17,30.09,5.96,6.16,148.87,0.31,0.00,0.00,51.35,53.4,9.7,42,0,0,50,1,1,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,848,677,677,74.8,NOT_FOUND,0.02,9.41
PROCESSED,DBL,Dilip Buildcon,3565.45,Real Estate,0.71,1.30,-1.98,7.23,-40.80,-5.91,23.35,31.07,243.85,511.45,367.1,-85,319,424,9040,9238,9015,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11230,11225,11177,70.15,24.99,9.12,6.35
PROCESSED,ABB,ABB India,61278.6,Capital Goods,0.00,66.95,12.84,15.08,0.00,24.53,10.34,14.32,2891.75,1745.45,929.8,532,230,302,7093,5927,7409,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8072,7590,7700,75,NOT_FOUND,8.6,3.53
PROCESSED,JMFINANCIL,JM Financial,6272.79,Finance,0.00,64.11,8.77,10.84,19.65,3.44,1.88,1.51,65.7,94.65,82.9,327,175,127,619,374,303,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4036,3790,2843,55.41,NOT_FOUND,8.79,21.13
PROCESSED,REDINGTON,Redington (India),11436.74,Trading,0.00,158.58,36.68,42.74,12.10,11.98,6.77,12.58,146.35,164.65,63.88,935,263,489,27506,22791,19006,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7867,5261,5713,NOT_FOUND,NOT_FOUND,16.51,38.74
PROCESSED,DIVISLAB,Divis Laboratories,99508.24,Healthcare,0.00,6134.95,25.21,30.29,39.63,111.07,73.63,51.71,3748.4,4908.35,3129.55,2948,1954,1372,8991,6861,5500,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,13307,10723,8514,51.94,NOT_FOUND,19.99,16.52
PROCESSED,ACC,ACC,42874.65,Construction Materials,0.00,58.67,12.79,17.47,0.00,96.93,75.35,72.36,2283.15,2308.75,1387.6,1820,1414,1358,16356,13988,15967,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,20919,18125,17082,54.53,NOT_FOUND,20.82,12.11
PROCESSED,JSWENERGY,JSW Energy,54614.73,Power,0.09,10.02,4.22,6.28,87.09,3.47,1.13,3.03,332.2,250.15,57.4,569,186,497,3871,2959,4511,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,16672,14716,13555,74.69,13.64,10.08,5.27
PROCESSED,RELAXO,Relaxo Footwears,25263.5,Footwear,0.01,28.67,13.21,16.96,113.93,9.36,11.74,9.12,1014.9,1222.9,640.35,232,291,226,2676,2381,2419,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2382,2175,1841,70.78,NOT_FOUND,7.06,3.15
PROCESSED,DIXON,Dixon Technologies,23773.27,Consumer Durables,0.27,9.33,16.36,18.40,168.12,25.63,26.14,96.88,4006.15,4099.35,1563.12,150,151,110,7487,5676,3680,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2725,2419,1421,34.3,NOT_FOUND,8.07,15.08
PROCESSED,AIAENG,AIA Engineering,23618.29,Capital Goods,0.00,232.88,12.72,16.22,26.19,61.97,51.41,88.27,2504.05,1991.15,1673.3,584,484,832,3351,2617,3073,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4864,4533,3994,58.47,NOT_FOUND,20.68,18.13
